iter	Passed	Remaining
867	16432	11964
868	16451	11945
869	16468	11925
870	16485	11904
871	16502	11884
872	16517	11863
873	16536	11844
874	16556	11826
875	16571	11804
876	16588	11783
877	16607	11764
878	16625	11745
879	16646	11728
880	16662	11706
881	16680	11687
882	16700	11669
883	16721	11652
884	16738	11631
885	16756	11612
886	16773	11592
887	16790	11571
888	16806	11550
889	16825	11532
890	16841	11511
891	16858	11490
892	16876	11471
893	16895	11452
894	16915	11434
895	16931	11413
896	16946	11392
897	16965	11373
898	16984	11354
899	17002	11335
900	17020	11315
901	17038	11295
902	17054	11275
903	17071	11255
904	17091	11237
905	17110	11217
906	17127	11198
907	17144	11177
908	17162	11158
909	17182	11140
910	17200	11120
911	17216	11099
912	17235	11081
913	17253	11062
914	17270	11042
915	17289	11023
916	17305	11002
917	17324	10983
918	17340	10962
919	17358	10943
920	17375	10923
921	17393	10903
922	17410	10883
923	17427	10864
924	17444	10843
925	17461	10823
926	17478	10804
927	17496	10784
928	17513	10764
929	17531	10745
930	17552	10727
931	17570	10708
932	17592	10691
933	17610	10671
934	17630	10653
935	17650	10635
936	17666	10614
937	17684	10595
938	17703	10576
939	17719	10556
940	17736	10536
941	17753	10516
942	17770	10496
943	17788	10476
944	17805	10457
945	17824	10438
946	17844	10420
947	17860	10399
948	17880	10381
949	17895	10360
950	17911	10339
951	17927	10319
952	17946	10300
953	17963	10280
954	17982	10262
955	17999	10242
956	18017	10222
957	18037	10204
958	18053	10184
959	18072	10165
960	18090	10146
961	18110	10128
962	18127	10108
963	18146	10089
964	18163	10069
965	18181	10050
966	18199	10031
967	18217	10012
968	18236	9993
969	18254	9974
970	18272	9954
971	18288	9934
972	18306	9915
973	18323	9895
974	18339	9875
975	18356	9855
976	18373	9835
977	18394	9818
978	18410	9797
979	18426	9777
980	18443	9757
981	18459	9737
982	18479	9719
983	18498	9700
984	18514	9680
985	18531	9660
986	18551	9642
987	18570	9623
988	18585	9602
989	18605	9584
990	18623	9565
991	18638	9544
992	18657	9526
993	18677	9507
994	18694	9488
995	18712	9469
996	18733	9451
997	18753	9433
998	18771	9414
999	18787	9393
1000	18805	9374
1001	18821	9354
1002	18838	9334
1003	18860	9317
1004	18878	9298
1005	18896	9279
1006	18916	9261
1007	18936	9242
1008	18953	9223
1009	18972	9204
1010	18993	9186
1011	19010	9166
1012	19027	9147
1013	19045	9128
1014	19063	9108
1015	19078	9088
1016	19094	9068
1017	19110	9048
1018	19127	9028
1019	19145	9009
1020	19162	8989
1021	19180	8970
1022	19199	8952
1023	19217	8933
1024	19235	8914
1025	19254	8895
1026	19271	8875
1027	19288	8856
1028	19308	8837
1029	19324	8818
1030	19340	8797
1031	19358	8778
1032	19376	8759
1033	19393	8740
1034	19410	8720
1035	19427	8701
1036	19442	8680
1037	19459	8661
1038	19476	8641
1039	19497	8623
1040	19516	8605
1041	19536	8587
1042	19556	8569
1043	19574	8549
1044	19594	8531
1045	19614	8513
1046	19636	8495
1047	19651	8475
1048	19671	8457
1049	19690	8438
1050	19706	8418
1051	19725	8400
1052	19743	8381
1053	19761	8361
1054	19776	8341
1055	19793	8322
1056	19810	8302
1057	19828	8283
1058	19843	8263
1059	19864	8245
1060	19882	8226
1061	19903	8208
1062	19922	8190
1063	19941	8171
1064	19958	8151
1065	19975	8132
1066	19993	8113
1067	20011	8094
1068	20032	8076
1069	20049	8057
1070	20064	8037
1071	20084	8018
1072	20100	7999
1073	20116	7979
1074	20135	7960
1075	20151	7940
1076	20169	7921
1077	20184	7901
1078	20201	7882
1079	20222	7864
1080	20241	7845
1081	20256	7825
1082	20274	7806
1083	20292	7787
1084	20311	7768
1085	20330	7750
1086	20347	7730
1087	20363	7711
1088	20380	7691
1089	20400	7673
1090	20420	7655
1091	20435	7635
1092	20451	7615
1093	20468	7596
1094	20489	7578
1095	20506	7559
1096	20524	7540
1097	20542	7521
1098	20561	7502
1099	20581	7484
1100	20598	7465
1101	20615	7445
1102	20634	7426
1103	20651	7407
1104	20670	7389
1105	20686	7369
1106	20704	7350
1107	20720	7330
1108	20739	7312
1109	20755	7292
1110	20772	7273
1111	20791	7254
1112	20808	7235
1113	20824	7215
1114	20842	7196
1115	20859	7177
1116	20874	7157
1117	20891	7138
1118	20908	7119
1119	20926	7100
1120	20942	7080
1121	20959	7061
1122	20974	7041
1123	20992	7022
1124	21013	7004
1125	21033	6986
1126	21051	6967
1127	21066	6947
1128	21082	6928
1129	21102	6909
1130	21120	6890
1131	21136	6871
1132	21155	6852
1133	21173	6833
1134	21192	6815
1135	21211	6796
1136	21231	6778
1137	21248	6759
1138	21265	6740
1139	21282	6720
1140	21298	6701
1141	21318	6683
1142	21337	6664
1143	21356	6645
1144	21372	6626
1145	21389	6607
1146	21409	6588
1147	21427	6570
1148	21447	6551
1149	21464	6532
1150	21481	6513
1151	21498	6494
1152	21514	6474
1153	21533	6456
1154	21547	6436
1155	21565	6417
1156	21581	6397
1157	21598	6378
1158	21615	6359
1159	21634	6341
1160	21650	6321
1161	21667	6302
1162	21681	6282
1163	21701	6264
1164	21722	6246
1165	21738	6226
1166	21756	6208
1167	21775	6189
1168	21789	6169
1169	21807	6150
1170	21825	6132
1171	21844	6113
1172	21863	6094
1173	21881	6076
1174	21897	6056
1175	21915	6037
1176	21931	6018
1177	21947	5999
1178	21962	5979
1179	21980	5960
1180	21997	5941
1181	22016	5923
1182	22033	5904
1183	22048	5884
1184	22065	5865
1185	22080	5846
1186	22098	5827
1187	22115	5808
1188	22132	5789
1189	22150	5770
1190	22167	5751
1191	22183	5731
1192	22200	5712
1193	22216	5693
1194	22233	5674
1195	22249	5655
1196	22266	5636
1197	22284	5617
1198	22303	5599
1199	22321	5580
1200	22336	5560
1201	22350	5541
1202	22366	5521
1203	22381	5502
1204	22397	5483
1205	22414	5464
1206	22428	5444
1207	22445	5425
1208	22462	5406
1209	22481	5388
1210	22498	5369
1211	22514	5349
1212	22530	5330
1213	22545	5311
1214	22561	5292
1215	22579	5273
1216	22597	5254
1217	22617	5236
1218	22632	5217
1219	22649	5198
1220	22666	5179
1221	22682	5160
1222	22696	5140
1223	22716	5122
1224	22737	5104
1225	22752	5085
1226	22770	5066
1227	22789	5047
1228	22806	5028
1229	22825	5010
1230	22843	4991
1231	22858	4972
1232	22875	4953
1233	22893	4934
1234	22910	4915
1235	22927	4897
1236	22945	4878
1237	22962	4859
1238	22980	4840
1239	22997	4822
1240	23013	4802
1241	23028	4783
1242	23047	4765
1243	23064	4746
1244	23081	4727
1245	23097	4708
1246	23118	4690
1247	23133	4671
1248	23152	4652
1249	23171	4634
1250	23186	4615
1251	23203	4596
1252	23222	4577
1253	23239	4558
1254	23255	4539
1255	23271	4520
1256	23287	4501
1257	23305	4483
1258	23325	4465
1259	23342	4446
1260	23358	4427
1261	23375	4408
1262	23393	4389
1263	23410	4370
1264	23425	4351
1265	23444	4333
1266	23461	4314
1267	23478	4295
1268	23496	4277
1269	23513	4258
1270	23531	4239
1271	23550	4221
1272	23566	4202
1273	23581	4183
1274	23600	4164
1275	23616	4145
1276	23635	4127
1277	23651	4108
1278	23671	4090
1279	23692	4072
1280	23710	4053
1281	23729	4035
1282	23745	4016
1283	23763	3997
1284	23778	3978
1285	23795	3959
1286	23812	3940
1287	23829	3922
1288	23847	3903
1289	23863	3884
1290	23882	3866
1291	23898	3847
1292	23915	3828
1293	23931	3809
1294	23949	3791
1295	23967	3772
1296	23986	3754
1297	24006	3736
1298	24024	3717
1299	24042	3698
1300	24061	3680
1301	24083	3662
1302	24101	3643
1303	24116	3624
1304	24132	3605
1305	24154	3587
1306	24175	3569
1307	24194	3551
1308	24210	3532
1309	24226	3513
1310	24242	3494
1311	24258	3476
1312	24275	3457
1313	24292	3438
1314	24313	3420
1315	24331	3401
1316	24348	3383
1317	24367	3364
1318	24384	3346
1319	24402	3327
1320	24419	3308
1321	24437	3290
1322	24458	3272
1323	24475	3253
1324	24492	3234
1325	24509	3216
1326	24524	3197
1327	24541	3178
1328	24556	3159
1329	24573	3140
1330	24592	3122
1331	24613	3104
1332	24629	3085
1333	24646	3066
1334	24661	3048
1335	24679	3029
1336	24696	3010
1337	24711	2991
1338	24726	2973
1339	24744	2954
1340	24760	2935
1341	24776	2916
1342	24794	2898
1343	24811	2879
1344	24830	2861
1345	24847	2842
1346	24865	2824
1347	24881	2805
1348	24899	2787
1349	24915	2768
1350	24932	2749
1351	24948	2730
1352	24965	2712
1353	24985	2694
1354	25002	2675
1355	25018	2656
1356	25034	2638
1357	25049	2619
1358	25067	2600
1359	25085	2582
1360	25103	2563
1361	25120	2545
1362	25138	2526
1363	25157	2508
1364	25174	2489
1365	25192	2471
1366	25209	2452
1367	25226	2434
1368	25244	2415
1369	25261	2397
1370	25277	2378
1371	25292	2359
1372	25308	2341
1373	25327	2322
1374	25346	2304
1375	25362	2285
1376	25377	2266
1377	25393	2248
1378	25410	2229
1379	25430	2211
1380	25448	2192
1381	25466	2174
1382	25483	2155
1383	25498	2137
1384	25513	2118
1385	25527	2099
1386	25545	2081
1387	25560	2062
1388	25578	2044
1389	25591	2025
1390	25608	2006
1391	25625	1988
1392	25640	1969
1393	25658	1951
1394	25676	1932
1395	25696	1914
1396	25713	1895
1397	25733	1877
1398	25750	1859
1399	25767	1840
1400	25784	1822
1401	25800	1803
1402	25814	1784
1403	25831	1766
1404	25847	1747
1405	25863	1729
1406	25880	1710
1407	25899	1692
1408	25916	1673
1409	25936	1655
1410	25952	1636
1411	25969	1618
1412	25986	1600
1413	26002	1581
1414	26017	1562
1415	26035	1544
1416	26053	1526
1417	26068	1507
1418	26086	1489
1419	26104	1470
1420	26119	1452
1421	26136	1433
1422	26153	1415
1423	26170	1396
1424	26187	1378
1425	26206	1359
1426	26226	1341
1427	26242	1323
1428	26259	1304
1429	26278	1286
1430	26293	1267
1431	26313	1249
1432	26332	1231
1433	26348	1212
1434	26365	1194
1435	26381	1175
1436	26400	1157
1437	26418	1139
1438	26436	1120
1439	26451	1102
1440	26467	1083
1441	26481	1065
1442	26500	1046
1443	26517	1028
1444	26534	1009
1445	26551	991
1446	26569	973
1447	26585	954
1448	26603	936
1449	26622	918
1450	26639	899
1451	26656	881
1452	26673	862
1453	26689	844
1454	26706	825
1455	26724	807
1456	26742	789
1457	26758	770
1458	26776	752
1459	26795	734
1460	26815	715
1461	26835	697
1462	26855	679
1463	26873	660
1464	26889	642
1465	26903	623
1466	26918	605
1467	26936	587
1468	26954	568
1469	26970	550
1470	26986	532
1471	27003	513
1472	27019	495
1473	27035	476
1474	27052	458
1475	27069	440
1476	27087	421
1477	27102	403
1478	27118	385
1479	27136	366
1480	27153	348
1481	27168	329
1482	27184	311
1483	27200	293
1484	27218	274
1485	27235	256
1486	27256	238
1487	27272	219
1488	27289	201
1489	27304	183
1490	27322	164
1491	27340	146
1492	27358	128
1493	27374	109
1494	27395	91
1495	27413	73
1496	27433	54
1497	27451	36
1498	27468	18
1499	27482	0
