iter	TotalF1:average=Macro	MultiClass
769	0.8380066534	0.4198727519
770	0.8381454451	0.4197349713
771	0.8381129953	0.4196476545
772	0.8381433171	0.4195475385
773	0.8382503889	0.4194546727
774	0.8382866593	0.41937068
775	0.8383130062	0.4192380819
776	0.8382852713	0.4191421014
777	0.8383587296	0.4190444981
778	0.8383396942	0.418943309
779	0.8384943733	0.4188439258
780	0.8384590941	0.4187470816
781	0.8385880294	0.4186307638
782	0.8385867206	0.4185073528
783	0.8386683651	0.4183731581
784	0.8386586223	0.4182914164
785	0.8387023382	0.418218312
786	0.8387382021	0.4181056063
787	0.8388141776	0.4180000984
788	0.8389143398	0.417899014
789	0.8388637564	0.4178074831
790	0.8389208473	0.417687056
791	0.8389295034	0.4175853695
792	0.8388932779	0.4175233107
793	0.8390534108	0.4174320939
794	0.839028403	0.4172969569
795	0.8390927107	0.417188596
796	0.8390918758	0.4170861244
797	0.8391651097	0.4169644147
798	0.8392921907	0.4168355334
799	0.8394024741	0.4167388462
800	0.8394241011	0.416653885
801	0.8394791509	0.416522203
802	0.8394939612	0.4164454081
803	0.8394583155	0.4163639804
804	0.8394892821	0.4162554364
805	0.839626478	0.4161618639
806	0.839686596	0.4160501004
807	0.8396917544	0.4159575225
808	0.8397953289	0.4158801257
809	0.8398358371	0.415785323
810	0.8397926563	0.4157033457
811	0.8398085234	0.4155999579
812	0.8398578909	0.4154764422
813	0.8399644147	0.4153779229
814	0.8399584766	0.4152832249
815	0.8400575432	0.4151968765
816	0.8400689494	0.4151061308
817	0.8401189596	0.4150326601
818	0.8402202246	0.414921708
819	0.8401844697	0.4148386051
820	0.8402643635	0.4147231249
821	0.8402708144	0.4146386087
822	0.8403018097	0.4145452718
823	0.8403733443	0.4144585308
824	0.8403125999	0.414366267
825	0.8403550445	0.4142872735
826	0.8404281234	0.4141952715
827	0.8404791428	0.414112823
828	0.8405451831	0.4140095138
829	0.840546228	0.4139345511
830	0.8406005271	0.4138633575
831	0.8406426914	0.4137535832
832	0.8406917	0.4136200691
833	0.8407794462	0.4135429601
834	0.840777854	0.4134397556
835	0.8408786473	0.4133238827
836	0.8408752307	0.4132505952
837	0.8408064761	0.4131225776
838	0.8409508933	0.4130342138
839	0.8409412843	0.4129539901
840	0.8409869933	0.4128673276
841	0.8410658826	0.4128051117
842	0.8410265803	0.412728945
843	0.8410648616	0.4126640855
844	0.8410580327	0.412568393
845	0.8411176892	0.4124905511
846	0.8411430967	0.4124036269
847	0.8411825566	0.4123310984
848	0.8412256086	0.412235432
849	0.8412761361	0.4121559936
850	0.8412438437	0.4120744088
851	0.8412891014	0.4119948657
852	0.8413370131	0.4118781029
853	0.8414153258	0.4117897653
854	0.8414591461	0.4116873721
855	0.8415518233	0.4116141631
856	0.8415375163	0.4115500104
857	0.8415615195	0.4114731893
858	0.8415784638	0.4113893798
859	0.8415968856	0.4113099152
860	0.8416665972	0.4112236191
861	0.8416381461	0.4111495987
862	0.8416740527	0.4110731964
863	0.8417372299	0.4109780274
864	0.8417687497	0.4108778067
865	0.841831555	0.41080075
